"freq
References : ['horn_gain_smooth','(horn_gain_120cm+horn_gain_240cm)*0.5']
Dependency : [freq]
Num. Points : [1201]
Matrix Size : scalar
Type : Real","horn_gain_smooth
References : []
Dependency : [freq]
Num. Points : [1201]
Matrix Size : scalar
Type : Real","(horn_gain_120cm+horn_gain_240cm)*0.5
References : []
Dependency : [freq]
Num. Points : [1201]
Matrix Size : scalar
Type : Real"
138.75,21.16233,21.16653
138.80,21.16288,21.16665
138.85,21.16343,21.16582
138.90,21.16397,21.1657
138.95,21.16452,21.1665
139.00,21.16507,21.17015
139.05,21.16562,21.1731
139.10,21.16616,21.17449
139.15,21.16671,21.17616
139.20,21.16725,21.17649
139.25,21.16779,21.17819
139.30,21.16833,21.18044
139.35,21.16887,21.17636
139.40,21.1694,21.16975
139.45,21.16994,21.162
139.50,21.17047,21.15368
139.55,21.171,21.14676
139.60,21.17152,21.14555
139.65,21.17205,21.1523
139.70,21.17257,21.1576
139.75,21.17309,21.15898
139.80,21.1736,21.16025
139.85,21.17411,21.15932
139.90,21.17462,21.16116
139.95,21.17512,21.16365
140.00,21.17562,21.16548
140.05,21.17612,21.16925
140.10,21.17661,21.16665
140.15,21.1771,21.16372
140.20,21.17758,21.16169
140.25,21.17806,21.15343
140.30,21.17854,21.14637
140.35,21.17901,21.13926
140.40,21.17948,21.13519
140.45,21.17994,21.13756
140.50,21.18041,21.14093
140.55,21.18086,21.14611
140.60,21.18132,21.14657
140.65,21.18177,21.13862
140.70,21.18222,21.12815
140.75,21.18266,21.11434
140.80,21.1831,21.10533
140.85,21.18354,21.10295
140.90,21.18397,21.10357
140.95,21.1844,21.10776
141.00,21.18483,21.10646
141.05,21.18525,21.10232
141.10,21.18567,21.09877
141.15,21.18609,21.0905
141.20,21.1865,21.08393
141.25,21.18691,21.07996
141.30,21.18732,21.07895
141.35,21.18772,21.08349
141.40,21.18811,21.09001
141.45,21.18851,21.09759
141.50,21.1889,21.10062
141.55,21.18929,21.09366
141.60,21.18967,21.08303
141.65,21.19005,21.07354
141.70,21.19042,21.06741
141.75,21.19079,21.06474
141.80,21.19116,21.06682
141.85,21.19153,21.07387
141.90,21.19189,21.07961
141.95,21.19225,21.08089
142.00,21.1926,21.08114
142.05,21.19296,21.07855
142.10,21.1933,21.07264
142.15,21.19365,21.06773
142.20,21.19399,21.06701
142.25,21.19433,21.07043
142.30,21.19467,21.07783
142.35,21.195,21.08462
142.40,21.19533,21.08579
142.45,21.19566,21.08267
142.50,21.19598,21.0758
142.55,21.1963,21.06856
142.60,21.19662,21.06722
142.65,21.19693,21.07119
142.70,21.19724,21.08088
142.75,21.19755,21.09317
142.80,21.19786,21.10212
142.85,21.19816,21.10844
142.90,21.19846,21.11241
142.95,21.19875,21.11075
143.00,21.19904,21.10664
143.05,21.19933,21.10027
143.10,21.19961,21.09404
143.15,21.19989,21.09163
143.20,21.20017,21.09354
143.25,21.20044,21.09875
143.30,21.20071,21.10377
143.35,21.20098,21.106
143.40,21.20125,21.10198
143.45,21.20151,21.0925
143.50,21.20177,21.08466
143.55,21.20203,21.07992
143.60,21.20228,21.07896
143.65,21.20253,21.07922
143.70,21.20279,21.07914
143.75,21.20303,21.08252
143.80,21.20328,21.08604
143.85,21.20352,21.0883
143.90,21.20376,21.09057
143.95,21.20399,21.08857
144.00,21.20423,21.08244
144.05,21.20445,21.07567
144.10,21.20468,21.07174
144.15,21.2049,21.07427
144.20,21.20512,21.08194
144.25,21.20533,21.08656
144.30,21.20554,21.08527
144.35,21.20575,21.07771
144.40,21.20596,21.07056
144.45,21.20617,21.06467
144.50,21.20638,21.05861
144.55,21.2066,21.05877
144.60,21.20682,21.06288
144.65,21.20706,21.07231
144.70,21.20731,21.08519
144.75,21.20759,21.09045
144.80,21.20789,21.09073
144.85,21.2082,21.08615
144.90,21.20854,21.07853
144.95,21.20891,21.07659
145.00,21.20904,21.08188
145.05,21.20931,21.09378
145.10,21.20958,21.10968
145.15,21.20986,21.12344
145.20,21.21013,21.12914
145.25,21.2104,21.12391
145.30,21.21067,21.11472
145.35,21.21095,21.10938
145.40,21.21122,21.10914
145.45,21.21149,21.11218
145.50,21.21177,21.11502
145.55,21.21204,21.11927
145.60,21.21232,21.12434
145.65,21.21259,21.12342
145.70,21.21287,21.12084
145.75,21.21315,21.11529
145.80,21.21343,21.10758
145.85,21.21371,21.10443
145.90,21.214,21.10363
145.95,21.21428,21.10852
146.00,21.21457,21.11894
146.05,21.21485,21.12546
146.10,21.21514,21.12532
146.15,21.21543,21.11945
146.20,21.21572,21.11307
146.25,21.216,21.10814
146.30,21.21629,21.10366
146.35,21.21658,21.10392
146.40,21.21687,21.10637
146.45,21.21716,21.10725
146.50,21.21744,21.10765
146.55,21.21773,21.10547
146.60,21.21802,21.10601
146.65,21.21832,21.10726
146.70,21.21861,21.10443
146.75,21.2189,21.10196
146.80,21.21918,21.09948
146.85,21.21947,21.09806
146.90,21.21976,21.09745
146.95,21.22005,21.0935
147.00,21.22034,21.08951
147.05,21.22062,21.08374
147.10,21.22091,21.07825
147.15,21.2212,21.07551
147.20,21.22148,21.07124
147.25,21.22177,21.0669
147.30,21.22206,21.0622
147.35,21.22234,21.05899
147.40,21.22263,21.06237
147.45,21.22292,21.0696
147.50,21.2232,21.07922
147.55,21.22349,21.0834
147.60,21.22378,21.07911
147.65,21.22407,21.0728
147.70,21.22436,21.06495
147.75,21.22465,21.059
147.80,21.22494,21.05805
147.85,21.22523,21.06045
147.90,21.22553,21.06514
147.95,21.22582,21.06745
148.00,21.22612,21.07057
148.05,21.22642,21.07279
148.10,21.22672,21.07376
148.15,21.22702,21.07434
148.20,21.22733,21.07055
148.25,21.22763,21.06969
148.30,21.22794,21.07281
148.35,21.22825,21.07596
148.40,21.22856,21.08164
148.45,21.22887,21.0844
148.50,21.22918,21.08391
148.55,21.2295,21.08216
148.60,21.22981,21.07719
148.65,21.23013,21.07662
148.70,21.23045,21.08318
148.75,21.23077,21.09398
148.80,21.23109,21.10538
148.85,21.23142,21.10988
148.90,21.23174,21.1093
148.95,21.23207,21.10552
149.00,21.2324,21.10277
149.05,21.23273,21.10268
149.10,21.23306,21.10183
149.15,21.23339,21.10259
149.20,21.23372,21.10141
149.25,21.23406,21.09609
149.30,21.23439,21.09464
149.35,21.23473,21.09102
149.40,21.23507,21.08587
149.45,21.23541,21.08409
149.50,21.23576,21.08445
149.55,21.2361,21.09158
149.60,21.23645,21.09936
149.65,21.2368,21.10245
149.70,21.23716,21.09948
149.75,21.23751,21.08877
149.80,21.23786,21.08119
149.85,21.23822,21.07786
149.90,21.23858,21.07886
149.95,21.23894,21.08647
150.00,21.2393,21.09197
150.05,21.23967,21.09451
150.10,21.24003,21.09486
150.15,21.2404,21.09045
150.20,21.24077,21.08745
150.25,21.24114,21.08662
150.30,21.24152,21.09085
150.35,21.24189,21.09776
150.40,21.24227,21.09959
150.45,21.24265,21.10016
150.50,21.24302,21.10145
150.55,21.2434,21.10077
150.60,21.24378,21.09649
150.65,21.24417,21.08917
150.70,21.24455,21.08545
150.75,21.24493,21.08688
150.80,21.24531,21.09479
150.85,21.2457,21.10828
150.90,21.24608,21.12029
150.95,21.24647,21.12905
151.00,21.24686,21.13129
151.05,21.24724,21.12592
151.10,21.24763,21.12243
151.15,21.24801,21.12293
151.20,21.2484,21.12628
151.25,21.24879,21.13273
151.30,21.24917,21.14014
151.35,21.24956,21.14878
151.40,21.24994,21.15448
151.45,21.25032,21.15439
151.50,21.25071,21.15215
